title_review,country,date,avp_badge,review_text
"
Un parcours remarquable
",France,27 novembre 2018,Achat vérifié,"

  Cette autobiographie est l'occasion de mieux connaître Michelle Obama, une vie passionnante qui l'a menée des quartiers défavorisés de Chicago jusqu'à la Maison Blanche comme 1ère Dame! Quel parcours! Elle explique les rencontres qui ont marqué sa vie, ses engagements...Son parcours, qui sait?, ne s'arrêtera peut-être pas là! L'avenir le dira mais Michelle Obama à la Maison Blanche, voilà un défi auquel elle ne devrait pas rester insensible (même si elle affirme le contraire...). Découvrez cette vie en VO, vous ne le regretterez pas.

"
"
Interessant témoignage. Quelques longueurs.
",France,29 novembre 2018,Achat vérifié,"

  La premiere moitié du livre est particulièrement interessante car elle montre comment une petite fille noire nee dans une famille modeste américaine arrive a se hisser socialement grace a sa force de travail et son intelligence, sans jamais renier ses origines. J'ai regrette quelques longueurs et parties répétitives dans la deuxième partie (la vie a la maison blanche principalement, presque un peu trop "" Paris Match"").Si l'on en croit Michelle (et elle en donne pas mal d'exemples concrets), son mari et elle avaient eu toujours comme intention de rendre la vie des gens meilleure. Ils ont une éthique forte. Le contraste avec la présidence actuelle en est d'autant plus frappant...Livre plaisant au global.ps: ne pas s'attendre a des revelations. Quelques petits details non connus jalonnent le récit, ca et la, mais rien de majeur. Le contraire eut été étonnant.

"
"
Super livre d’une femme battante !
",France,11 décembre 2018,Achat vérifié,"


  Your browser does not support HTML5 video.


   J’ai reçu mon livre à temps et je suis très contente . Livre en bonne état et nouveaux , pas de tâche d’humilité, il a été bien emballée avec toute les précautions. Merci beaucoup !

"
"
Michelle Obama's life and wisdom
",France,23 novembre 2018,Achat vérifié,"

  A complete and stimulating autobiography, a bit long, providing many insights of becoming a first lady and surviving it intact, with an impressive list of accomplishments against many obstacles.

"
"
Obama
",France,15 octobre 2019,Achat vérifié,"

  Il y des personnages qu'on aime. Michelle Obama est de ceux-là par sa chaleur humaine, son énergie, son courage et ses valeurs. Le livre raconte son ascension sociale (et celle du couple!) à force de travail, d'un milieu très modeste jusqu'au sommet de l'échelle sociale. Malgré la distance dans le temps, je la rapproche d'Eleanor Roosevelt. Le tableau de la vie politique est cru, on comprend qu'elle n'ait pas voulu se lancer dans la course à la présidence!

"
"
Reading biographies is not really my thing, but this ONE I highly recommend!
",France,3 février 2019,Achat vérifié,"

  I am not a ""biography"" reader, I am more a science fiction or fantastic reader. Then I saw Michelle's interview in Jimmy Kimmel show. And I am intrigued to know more about her.This book is awesome! How she described her feelings, thoughts, and visions is easily understood. I can imagine clearly how and what happened in the situations told.The more I progress in the book the more I admire Michelle Obama. Not because she was the first lady of US but because she is an inspiring human being with all the strength and weakness as she described in the book.

"
"
Today again I heard an 18 year old daughter of a friend express the fear that she might not be good enough...
",France,2 janvier 2019,Achat vérifié,"

  Michelle Obama’s book should be mandatory curricular reading for all young women... A lived lesson in universal female experiences speaking to all women, whatever her nationality, education level, race or religious persuasion... She speaks to and for us all... A real 21st century role model who has defied all detractors with integrity... M McG

"
"
L'un des meilleurs livres que j'ai pu lire !
",France,25 août 2019,Achat vérifié,"

  Il s'agit indéniablement de l’une de mes meilleures lectures ces dernières années. J’aurais voulu que ce livre ne se termine jamais ! J’ai absolument adoré découvrir l’histoire de Michelle Obama, de son enfance au sein d'une famille modeste de Chicago à son rôle de First Lady à la Maison Blanche.J’ai trouvé ce livre merveilleusement bien écrit, la douceur, la sincérité et l’enthousiasme de Michelle Obama transpirant à chaque page. Même si un partie de l’histoire nous est évidemment très familière, Becoming m’a autant tenu en haleine qu’un bon polar. Cette biographie est un merveilleux exemple de persévérance, d'humilité, d’optimisme et de grâce. A lire absolument !

"
"
Good written and very enriching
",France,8 novembre 2019,Achat vérifié,"

  Very, very interesting this privit view on the background of the life of a so exposed family.I loved this book as I adore the Obamas.

"
"
Bon livre avec livraison très rapide
",France,4 septembre 2020,Achat vérifié,"

  Bon bouquin qui permet de mieux comprendre la société américaine. Facile à lire.

"
"
Génial !! je recommande
",France,3 mars 2019,Achat vérifié,"

  Livre à la hauteur de son auteur ! il est plein d'anecdotes, On partage les moments de la vie de Michelle OBAMA. j'adore

"
"
envoi parfait
",France,8 janvier 2019,Achat vérifié,"

  Merci pour cet envoi arrivé dans les temps, ouf ! C'était un cadeau pour ma fille qui arrivait des USA pour les vacances.Bonne année 2019 au vendeur que je recommande !

"
"
super livre
",France,10 avril 2019,Achat vérifié,"

  je peux propose ce livre  !! ce biographie est drole, informative et super facile a lire. mon livre prefere !

"
"
Interesting insight
",France,2 avril 2020,Achat vérifié,"

  A very intelligently written book, some parts can be difficult to follow if you're not familiar with American politics, but very rewarding.

"
"
Très bon livre
",France,5 août 2020,Achat vérifié,"

  Très bon livre

"
"
Livre en parfait état
",France,31 juillet 2020,Achat vérifié,"

  Quelle expérience fantastique à la lecture de ce livre en papier en bois d'arbre véritable, en plus écrit en anglais !Un livre qui en vaut le détour pour s'ouvrir un peu l'esprit !!

"
"
Grand dame.  Si vous êtes fan de Michelle Obama , n'hésitez pas .
",France,7 octobre 2020,Achat vérifié,"

  Super bouquin . Facile a lire et comprendre .  Sauf ce que je trouve dommage c'est le couverture du livre .ça peut vite se déchirer et a l'intérieur du couverture il aurait du avoir la photo Du Michelle Obama ou même son nom écrit .

"
"
Not afraid to tell the truth.
",France,4 octobre 2019,Achat vérifié,"

  Great book.  Michelle Obama a example to follow. A great Human being. Not afraid to tell the truth and by calling the things by their name.

"
"
Satisfaite dans l'ensemble
",France,11 juin 2020,Achat vérifié,"

  Livre reçu dans les temps, malheureusement le colis était ouvert lors de la réception et le rabais du colis s'est collé sur la couverture ce qui a endommager cette dernière !Mais ou sinon très bon livre, je recommande et à lire dans la version originale

"
"
becoming
",France,13 mars 2019,Achat vérifié,"

  très beau livre, facile et très intéressant à lire, livraison parfaite et rapide

"
"
Texte en anglais
",France,21 mars 2019,Achat vérifié,"

  Il était en anglais je l’ai renvoyé

"
"
Génial
",France,5 janvier 2019,Achat vérifié,"

  Un seul mot! Génial

"
"
pas lu mais cadeau
",France,23 juillet 2019,Achat vérifié,"

  lectrice satisfaite

"
"
MUST READ !!
",France,22 mars 2020,Achat vérifié,"

  The more I read about her the more I love her !!

"
"
BORING
",France,13 décembre 2019,Achat vérifié,"

  DEAD BORING

"
"
Une merveille je recommande
",France,26 février 2019,Achat vérifié,"

  Superbe auteur, très prenant!J'adore

"
"
Inspirant
",France,23 mars 2020,Achat vérifié,"

  Cette femme est incroyablement inspirante et c'est super intéressant de découvrir la vie de la famille de son point de vue. Plein d'anecdotes à découvrir.

"
"
Livre
",France,19 septembre 2019,Achat vérifié,"

  Très bon produit

"
"
Dans son temps
",France,6 février 2019,Achat vérifié,"

  Cadeau adapté à Noël 2018

"
"
Very lovely book!
",France,4 janvier 2019,Achat vérifié,"

  Such fast delivery - perfect condition

"
"
Parfait, très contente!
",France,11 février 2019,Achat vérifié,"

  Livraison ultra rapide!

"
"
Leçon de vie
",France,23 mars 2019,Achat vérifié,"

  Lecture facile,  compréhensible mais quelle leçon d'humilité,

"
"
Parfait
",France,21 janvier 2019,Achat vérifié,"

  Rien à dire nikel

"
"
parfait
",France,5 avril 2019,Achat vérifié,"

  je l'utilise en complément de la lecture du livre acheté en anglais pour perfectionner mon anglais,c'est top,en plus c'est l'auteure qui fait la lecture...

"
"
Michelle Obama en anglais
",France,16 avril 2019,Achat vérifié,"

  Livre offert à ma fille. Très intéressant.Livraison rapide et soignée. Je recommande

"
"
la vie reelle de mme OBAMA
",France,4 novembre 2020,Achat vérifié,"

  - pour illustrer un cours d'anglais (à distance -> cause COVID)è pour perfectionner l'anglais et avoir des sujets de discussion pour un groupe d'eleves

"
"
A lire !
",France,18 novembre 2019,Achat vérifié,"

  Michelle Obama nous embarque littéralement dans le récit de sa vie. Lecture captivante et poignante.

"
"
Livraison pour le Portugal 🇵🇹 rapide
",France,15 décembre 2018,Achat vérifié,"

  Bien reçu dommage il est en anglais

"
"
Niquel
",France,28 août 2019,Achat vérifié,"

  Reçu en parfait état !

"
"
Becoming
",France,27 novembre 2019,Achat vérifié,"

  Belle histoire, belle découpe

"
"
Parfait
",France,28 octobre 2020,Achat vérifié,"

  Arrivé rapidement en bonne état et livre très intéressant.

"
"
Very interesting and accessible
",France,3 septembre 2020,Achat vérifié,"

  I love the book. It is like speaking to a friend, very accessible and strangely relatable.

"
"
Amazing woman
",France,1 janvier 2019,Achat vérifié,"

  Amazon woman

"
"
livraison ok et produit correct
",France,10 octobre 2019,Achat vérifié,"

  livraison ok et produit correct

"
"
Magnifique livre de Vie et d’Amour
",France,20 février 2020,Achat vérifié,"

  Un régal, quelle Femme, quel couple... quelle Vie. Un très bon livre

"
"
Un livre à lire absolument!
",France,8 juin 2019,Achat vérifié,"

  Un excellent livre. À lire!

"
"
conforme arrivé dans les temps
",France,18 février 2019,Achat vérifié,"

  conforme arrivé dans les temps

"
